"state","Year","Week","Percent of Deaths Due to Pneumonia and Influenza","All Deaths","Number of Pneumonia and Influenza Deaths"
Washington,2015,39,6.84,1009,69
Washington,2015,40,6.1,1000,61
Washington,2015,41,7.26,964,70
Washington,2015,42,6.82,1026,70
Washington,2015,43,6.56,1052,69
Washington,2015,44,7.68,1016,78
Washington,2015,45,7.18,1058,76
Washington,2015,46,5.76,1024,59
Washington,2015,47,4.88,1066,52
Washington,2015,48,7.8,1115,87
Washington,2015,49,6.5,1139,74
Washington,2015,50,6.4,1063,68
Washington,2015,51,7.93,1084,86
Washington,2015,52,7.31,1081,79
Washington,2016,01,7.18,1142,82
Washington,2016,02,6.82,1099,75
Washington,2016,03,6.4,1156,74
Washington,2016,04,7.1,1099,78
Washington,2016,05,5.49,1093,60
Washington,2016,06,6.53,1087,71
Washington,2016,07,6.12,1127,69
Washington,2016,08,8.73,1145,100
Washington,2016,09,7.75,1097,85
Washington,2016,10,8.19,1124,92
Washington,2016,11,6.35,1118,71
Washington,2016,12,8.59,1118,96
Washington,2016,13,8.65,1087,94
Washington,2016,14,9.26,1047,97
Washington,2016,15,9.79,1062,104
Washington,2016,16,8.33,1080,90
Washington,2016,17,7.83,996,78
Washington,2016,18,6.71,1088,73
Washington,2016,19,5.99,1018,61
Washington,2016,20,6.02,1047,63
Washington,2016,21,6.77,990,67
Washington,2016,22,6.42,1028,66
Washington,2016,23,6.4,985,63
Washington,2016,24,4.58,961,44
Washington,2016,25,6.49,970,63
Washington,2016,26,5.73,994,57
Washington,2016,27,5.08,965,49
Washington,2016,28,5.82,893,52
Washington,2016,29,4.63,734,34
Washington,2016,30,4.9,796,39
Washington,2016,31,4.53,684,31
Washington,2016,32,6.24,673,42
Washington,2016,33,5.07,691,35
Washington,2016,34,5.2,711,37
Washington,2016,35,3.55,705,25
Washington,2016,36,5.61,713,40
Washington,2016,37,5.54,704,39
